iter	Passed	Remaining
954	9767	460
955	9779	450
956	9794	440
957	9807	429
958	9818	419
959	9827	409
960	9839	399
961	9849	389
962	9860	378
963	9873	368
964	9883	358
965	9892	348
966	9902	337
967	9911	327
968	9923	317
969	9933	307
970	9941	296
971	9952	286
972	9960	276
973	9970	266
974	9979	255
975	9990	245
976	10001	235
977	10009	225
978	10020	214
979	10030	204
980	10040	194
981	10050	184
982	10062	174
983	10072	163
984	10082	153
985	10090	143
986	10102	133
987	10112	122
988	10121	112
989	10132	102
990	10141	92
991	10153	81
992	10165	71
993	10173	61
994	10183	51
995	10192	40
996	10202	30
997	10213	20
998	10221	10
999	10232	0
